date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:48	113/113	---M-Z	200	added ('OK')	text/plain	date:Mon,%2018%20Mar%202024%2002:24:46%20GMT	https://mall.cmsmasters.net/robots.txt		(from )
09:24:49	192157/192157	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2002:24:47%20GMT	https://mall.cmsmasters.net/	C:/rMall/mall.cmsmasters.net/index.html	(from )
09:24:49	285/285	---M--	403	error ('Forbidden')	text/html	date:Mon,%2018%20Mar%202024%2002:24:48%20GMT	https://mall.cmsmasters.net/xmlrpc.php	C:/rMall/mall.cmsmasters.net/xmlrpc.php	(from https://mall.cmsmasters.net/)
09:24:49	29404/29404	---M-Z	200	added ('OK')	text/css	etag:%2272dc-60d660b13de08-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=7.9.6	C:/rMall/mall.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider27b2.css	(from https://mall.cmsmasters.net/)
09:24:50	655/655	---M-Z	200	added ('OK')	text/css	etag:%2228f-60d660567ab69-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min.css?ver=6.2.2	C:/rMall/mall.cmsmasters.net/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min3781.css	(from https://mall.cmsmasters.net/)
09:24:51	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%221ae43-6103181fe4cad-gzip%22	https://mall.cmsmasters.net/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/rMall/mall.cmsmasters.net/wp-includes/css/dist/block-library/style.min84fc.css	(from https://mall.cmsmasters.net/)
09:24:52	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-613b4d367222b-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.2	C:/rMall/mall.cmsmasters.net/wp-content/plugins/contact-form-7/includes/css/styles6dcf.css	(from https://mall.cmsmasters.net/)
09:24:52	3106/3106	---M-Z	200	added ('OK')	text/css	etag:%22c22-613b4d39af356-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public.css?ver=3.2.0	C:/rMall/mall.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public55a0.css	(from https://mall.cmsmasters.net/)
09:24:52	28100/28100	---M-Z	200	added ('OK')	application/rss+xml	etag:%220cc81c745a51d293c87fa060609ceca2-gzip%22	https://mall.cmsmasters.net/feed/	C:/rMall/mall.cmsmasters.net/feed/index.html	(from https://mall.cmsmasters.net/)
09:24:52	27249/27249	---M-Z	200	added ('OK')	text/css	etag:%226a71-613b4d39af356-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr.css?ver=3.2.0	C:/rMall/mall.cmsmasters.net/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr55a0.css	(from https://mall.cmsmasters.net/)
